food_category,restaurant,item_name,item_description,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein
Beverages,Applebee's,Diet Mountain Dew,"Diet Mountain Dew, Fountain Drinks",0,0,0,0,0,35,0,0,0,0
Beverages,Applebee's,Caffeine Free Diet Pepsi,"Caffeine Free Diet Pepsi, Fountain Drinks",0,0,0,0,0,25,0,0,0,0
Beverages,Applebee's,Mug Root Beer,"Mug Root Beer, Fountain Drinks",110,0,0,0,0,45,29,0,29,0
Beverages,Applebee's,Kids 1% Milk,"Kids 1% Milk, Kids Beverages",100,2.5,1.5,0,10,105,12,0,12,8
Desserts,Applebee's,Brownie Bite,"Brownie Bite, Desserts",330,15,8,0,35,190,48,2,35,4
Appetizers & Sides,Applebee's,Brew Pub Pretzels & Beer Cheese Dip,"Brew Pub Pretzels & Beer Cheese Dip, Appetizers",1160,49,15,0,55,3580,146,6,17,34
Beverages,Applebee's,Captain Morgan Bahama Mama,"Captain Morgan Bahama Mama, Signature Mucho Cocktails",280,0,0,0,0,10,41,1,39,1
Appetizers & Sides,Applebee's,Kids Garlic Mashed Potatoes,"Kids Garlic Mashed Potatoes, Kids Sides",130,5,1,0,0,360,19,2,2,2
Appetizers & Sides,Applebee's,Kids Mozzarella Sticks,"Kids Mozzarella Sticks, Kids Sides",330,16,7,0,40,970,30,3,5,16
Beverages,Applebee's,"Strawberry Shake, Kids","Strawberry Shake, Kids, Kids Shakes",640,28,18,0.5,110,260,87,0,69,11
Beverages,Applebee's,"Chocolate Shake, Kids","Chocolate Shake, Kids, Kids Shakes",740,29,18,0.5,110,260,107,2,84,12
Beverages,Applebee's,"Vanilla Shake, Kids","Vanilla Shake, Kids, Kids Shakes",550,28,18,0.5,110,230,63,0,46,11
Entrees,Applebee's,Four-Cheese Mac & Cheese w/ Honey Pepper Chicken Tenders,"Four-Cheese Mac & Cheese w/ Honey Pepper Chicken Tenders, 1 Breadstick, Pasta",1350,54,19,0.5,130,3200,160,7,44,55
Toppings & Ingredients,Applebee's,Oriental,"Oriental, Available In: House Salad, Side Salads",250,22,3.5,0,0,80,13,0,13,0
Beverages,Applebee's,Fruit Punch,"Fruit Punch, Fountain Drinks",110,0,0,0,0,25,30,0,30,0
Beverages,Applebee's,"Sobe Life Water, Yumberry Pomegranate","Sobe Life Water, Yumberry Pomegranate, Fountain Drinks",0,0,0,0,0,30,0,0,0,0
Beverages,Applebee's,Brewed Hot Tea,"Brewed Hot Tea, Coffee & Hot Tea",0,0,0,0,0,5,1,0,0,0
Appetizers & Sides,Applebee's,Boneless Wings,"Boneless Wings, Appetizers",220,12,4.5,1.5,25,1270,22,2,9,5
Toppings & Ingredients,Applebee's,Honey French,"Honey French, Available In: House Salad, Side Salads",210,17,2.5,0,0,330,15,0,14,0
Toppings & Ingredients,Applebee's,Fat Free Italian,"Fat Free Italian, Available In: House Salad, Side Salads",20,0,0,0,0,380,5,0,3,0
Toppings & Ingredients,Applebee's,Lemon Olive Oil Vinaigrette,"Lemon Olive Oil Vinaigrette, Available In: House Salad, Side Salads",150,16,2.5,0,0,370,1,0,0,0
Entrees,Applebee's,"Double-Glazed Baby Back Ribs, 1/2 Rack","Double-Glazed Baby Back Ribs, 1/2 Rack, Steaks & Ribs, Includes Fixed Sides",850,51,16,0,150,1340,53,5,0,47
Beverages,Applebee's,Kiwi Iced Tea,"Kiwi Iced Tea, Flavored Iced Teas",45,0,0,0,0,5,12,0,10,0
Beverages,Applebee's,Mango Iced Tea,"Mango Iced Tea, Flavored Iced Teas",60,0,0,0,0,10,14,0,13,0
Beverages,Applebee's,Pomegranate Iced Tea,"Pomegranate Iced Tea, Flavored Iced Teas",50,0,0,0,0,5,12,0,11,0
Beverages,Applebee's,Raspberry Iced Tea,"Raspberry Iced Tea, Flavored Iced Teas",50,0,0,0,0,10,13,0,12,0
Beverages,Applebee's,Kiwi Lemonade,"Kiwi Lemonade, Flavored Lemonades",190,0,0,0,0,55,47,0,45,0
Beverages,Applebee's,Mango Lemonade,"Mango Lemonade, Flavored Lemonades",190,0,0,0,0,60,50,0,48,0
Beverages,Applebee's,Pomegranate Lemonade,"Pomegranate Lemonade, Flavored Lemonades",190,0,0,0,0,55,48,0,46,0
Beverages,Applebee's,Raspberry Lemonade,"Raspberry Lemonade, Flavored Lemonades",190,0,0,0,0,60,49,0,47,0
Beverages,Applebee's,Brisk Raspberry Iced Tea,"Brisk Raspberry Iced Tea, Fountain Drinks",45,0,0,0,0,55,13,0,13,0
Beverages,Applebee's,Diet Sierra Mist,"Diet Sierra Mist, Fountain Drinks",0,0,0,0,0,25,0,0,0,0
Beverages,Applebee's,Lipton Green Tea w/ Citrus,"Lipton Green Tea w/ Citrus, Fountain Drinks",50,0,0,0,0,70,13,0,13,0
Beverages,Applebee's,Lipton Peach Iced Tea,"Lipton Peach Iced Tea, Fountain Drinks",50,0,0,0,0,70,12,0,12,0
Beverages,Applebee's,Lipton Unsweetened Iced Tea,"Lipton Unsweetened Iced Tea, Fountain Drinks",0,0,0,0,0,70,0,0,0,0
Beverages,Applebee's,Orange Twister,"Orange Twister, Fountain Drinks",130,0,0,0,0,25,35,0,35,0
Beverages,Applebee's,IBC Root Beer,"IBC Root Beer, Fountain Drinks",110,0,0,0,0,40,27,0,27,0
Beverages,Applebee's,Sun Orchard Lemonade,"Sun Orchard Lemonade, Fountain Drinks",110,0,0,0,0,0,28,0,24,0
Beverages,Applebee's,Sugar Free Lemonade,"Sugar Free Lemonade, Fountain Drinks",5,0,0,0,0,95,0,0,0,0
Beverages,Applebee's,Tropicana Lemonade,"Tropicana Lemonade, Fountain Drinks",100,0,0,0,0,15,25,0,24,0
Beverages,Applebee's,Tropicana Pink Lemonade,"Tropicana Pink Lemonade, Fountain Drinks",100,0,0,0,0,15,25,0,24,0
Toppings & Ingredients,Applebee's,Sweet Asian Chile,"Sweet Asian Chile, Available In: Applebee's Riblets Plate, Steaks & Ribs, Includes Fixed Sides",260,2.5,0,0,0,1440,56,1,46,3
Beverages,Applebee's,Fresh Brewed Coffee,"Fresh Brewed Coffee, Coffee & Hot Tea",0,0,0,0,0,0,0,0,0,0
Beverages,Applebee's,Oreo Cookie Shake,"Oreo Cookie Shake, Milkshakes",870,43,25,1,145,430,108,1,74,16
Appetizers & Sides,Applebee's,The Classic Combo,"The Classic Combo, Appetizers",2230,127,38,1.5,195,5920,189,15,16,83
Appetizers & Sides,Applebee's,Garlicky Green Beans,"Garlicky Green Beans, Sides & Extras",150,12,2.5,0,0,420,8,3,2,2
Appetizers & Sides,Applebee's,Applesauce,"Applesauce, Kids Sides",50,0,0,0,0,0,14,1,12,0
Appetizers & Sides,Applebee's,Steamed Broccoli,"Steamed Broccoli, Sides & Extras",100,8,5,0,20,240,5,2,2,3
Beverages,Applebee's,Top Shelf Long Island Iced Tea,"Top Shelf Long Island Iced Tea, Signature Mucho Cocktails",220,0,0,0,0,15,23,0,19,0
Entrees,Applebee's,"Top Sirloin, 8oz","Top Sirloin, 8oz, Steaks & Ribs, Includes Fixed Sides",620,26,11,0.5,155,1980,45,6,5,53
Entrees,Applebee's,"Top Sirloin, 6oz","Top Sirloin, 6oz, Steaks & Ribs, Includes Fixed Sides",550,23,9,0.5,125,1860,43,6,5,44
Entrees,Applebee's,Grilled Chicken Breast,"Grilled Chicken Breast, Chicken, Includes Fixed Sides",550,22,8,0,175,1730,43,6,5,48
Entrees,Applebee's,Bourbon Street Steak,"Bourbon Street Steak, Steaks & Ribs, Includes Fixed Sides",820,47,11,1,135,1940,48,5,7,52
Fried Potatoes,Applebee's,Fries Basket,"Fries Basket, Kids Sides",640,30,5,0,0,1580,84,8,0,10
Appetizers & Sides,Applebee's,Crunchy Onion Rings,"Crunchy Onion Rings, Appetizers",1330,83,28,2,135,2690,92,8,8,56
Beverages,Applebee's,Blue Hawaiian Long Island Iced Tea,"Blue Hawaiian Long Island Iced Tea, Signature Mucho Cocktails",230,0,0,0,0,15,29,0,24,0
Beverages,Applebee's,Barq's Root Beer,"Barq's Root Beer, Fountain Drinks",110,0,0,0,0,45,30,0,30,0
Beverages,Applebee's,Caffeine Free Coca Cola,"Caffeine Free Coca Cola, Fountain Drinks",90,0,0,0,0,25,26,0,26,0
Beverages,Applebee's,Caffeine Free Diet Coke,"Caffeine Free Diet Coke, Fountain Drinks",0,0,0,0,0,25,0,0,0,0
Beverages,Applebee's,Cherry Coke,"Cherry Coke, Fountain Drinks",100,0,0,0,0,25,28,0,28,0
Beverages,Applebee's,Diet Coke,"Diet Coke, Fountain Drinks",0,0,0,0,0,25,0,0,0,0
Beverages,Applebee's,"Fruit Punch, Hi-C","Fruit Punch, Hi-C, Fountain Drinks",110,0,0,0,0,50,29,0,28,0
Beverages,Applebee's,Fuze Raspberry Ice Tea,"Fuze Raspberry Ice Tea, Fountain Drinks",70,0,0,0,0,35,15,0,15,0
Beverages,Applebee's,Mellow Yellow,"Mellow Yellow, Fountain Drinks",110,0,0,0,0,35,31,0,31,0
Beverages,Applebee's,Orange Fanta,"Orange Fanta, Fountain Drinks",110,0,0,0,0,35,29,0,29,0
Beverages,Applebee's,Pibb Extra,"Pibb Extra, Fountain Drinks",90,0,0,0,0,25,26,0,26,0
Beverages,Applebee's,"Barq's Root Beer, To Go","Barq's Root Beer, To Go, Fountain Drinks",160,0,0,0,0,70,45,0,45,0
Beverages,Applebee's,"Brisk Raspberry Iced Tea, To Go","Brisk Raspberry Iced Tea, To Go, Fountain Drinks",70,0,0,0,0,80,19,0,19,0
Beverages,Applebee's,"Caffeine Free Diet Coke, To Go","Caffeine Free Diet Coke, To Go, Fountain Drinks",0,0,0,0,0,40,0,0,0,0
Beverages,Applebee's,"Caffeine Free Diet Pepsi, To Go","Caffeine Free Diet Pepsi, To Go, Fountain Drinks",0,0,0,0,0,35,0,0,0,0
Beverages,Applebee's,"Cherry Coke, To Go","Cherry Coke, To Go, Fountain Drinks",150,0,0,0,0,35,42,0,42,0
Beverages,Applebee's,"Coke Zero, To Go","Coke Zero, To Go, Fountain Drinks",0,0,0,0,0,40,0,0,0,0
Beverages,Applebee's,"Diet Coke, To Go","Diet Coke, To Go, Fountain Drinks",0,0,0,0,0,40,0,0,0,0
Beverages,Applebee's,"Diet Mountain Dew, To Go","Diet Mountain Dew, To Go, Fountain Drinks",0,0,0,0,0,50,0,0,0,0
Beverages,Applebee's,"Diet Pepsi, To Go","Diet Pepsi, To Go, Fountain Drinks",0,0,0,0,0,35,0,0,0,0
Beverages,Applebee's,"Diet Sierra Mist, To Go","Diet Sierra Mist, To Go, Fountain Drinks",0,0,0,0,0,35,0,0,0,0
Beverages,Applebee's,"Fruit Punch, Hi-C, To Go","Fruit Punch, Hi-C, To Go, Fountain Drinks",170,0,0,0,0,75,43,0,41,0
Beverages,Applebee's,"Fruit Punch, To Go","Fruit Punch, To Go, Fountain Drinks",170,0,0,0,0,40,45,0,45,0
Beverages,Applebee's,"Fuze Raspberry Ice Tea, To Go","Fuze Raspberry Ice Tea, To Go, Fountain Drinks",100,0,0,0,0,50,22,0,22,0
Beverages,Applebee's,"Ginger Ale, To Go","Ginger Ale, To Go, Fountain Drinks",130,0,0,0,0,30,35,0,35,0
Beverages,Applebee's,"Lipton Green Tea w/ Citrus, To Go","Lipton Green Tea w/ Citrus, To Go, Fountain Drinks",70,0,0,0,0,110,20,0,19,0
Beverages,Applebee's,"Lipton Peach Iced Tea, To Go","Lipton Peach Iced Tea, To Go, Fountain Drinks",70,0,0,0,0,110,18,0,18,0
Beverages,Applebee's,"Lipton Unsweetened Iced Tea, To Go","Lipton Unsweetened Iced Tea, To Go, Fountain Drinks",0,0,0,0,0,105,0,0,0,0
Beverages,Applebee's,"Mellow Yellow, To Go","Mellow Yellow, To Go, Fountain Drinks",170,0,0,0,0,50,47,0,46,0
Beverages,Applebee's,"Mountain Dew, To Go","Mountain Dew, To Go, Fountain Drinks",170,0,0,0,0,60,46,0,46,0
Beverages,Applebee's,"Mug Root Beer, To Go","Mug Root Beer, To Go, Fountain Drinks",160,0,0,0,0,65,43,0,43,0
Beverages,Applebee's,"Orange Fanta, To Go","Orange Fanta, To Go, Fountain Drinks",160,0,0,0,0,55,44,0,44,0
Beverages,Applebee's,"Orange Twister, To Go","Orange Twister, To Go, Fountain Drinks",160,0,0,0,0,55,44,0,44,0
Beverages,Applebee's,"Pepsi, To Go","Pepsi, To Go, Fountain Drinks",150,0,0,0,0,30,41,0,41,0
Beverages,Applebee's,"Pibb Extra, To Go","Pibb Extra, To Go, Fountain Drinks",140,0,0,0,0,40,39,0,39,0
Beverages,Applebee's,"Sobe Life Water, Yumberry Pomegranate, To Go","Sobe Life Water, Yumberry Pomegranate, To Go, Fountain Drinks",0,0,0,0,0,45,0,0,0,0
Beverages,Applebee's,"Sprite, To Go","Sprite, To Go, Fountain Drinks",140,0,0,0,0,65,38,0,38,0
Beverages,Applebee's,"Strawberry Fanta, To Go","Strawberry Fanta, To Go, Fountain Drinks",160,0,0,0,0,45,45,0,44,0
Beverages,Applebee's,"Wild Cherry Pepsi, To Go","Wild Cherry Pepsi, To Go, Fountain Drinks",160,0,0,0,0,30,42,0,42,0
Beverages,Applebee's,Sprite,"Sprite, Fountain Drinks",90,0,0,0,0,45,25,0,25,0
Beverages,Applebee's,Strawberry Fanta,"Strawberry Fanta, Fountain Drinks",110,0,0,0,0,30,30,0,29,0
Entrees,Applebee's,Applebee's Riblets Platter,"Applebee's Riblets Platter, Steaks & Ribs, Includes Fixed Sides",1340,79,24,0,235,1790,69,7,14,89
Salads,Applebee's,Crispy Chicken Tender Salad,"Crispy Chicken Tender Salad, 1 Breadstick, Salad Dressing, Salads",1200,79,20,0.5,155,1960,83,8,27,44
Toppings & Ingredients,Applebee's,Add Burger Patty,"Add Burger Patty, Burger Add Ons",400,31,13,15,85,300,0,0,0,30
Toppings & Ingredients,Applebee's,Honey BBQ,"Honey BBQ, Available In: Applebee's Riblets Platter, Steaks & Ribs, Includes Fixed Sides",320,0,0,0,0,1360,79,5,66,2
Baked Goods,Applebee's,Breadsticks w/ Alfredo Sauce,"Breadsticks w/ Alfredo Sauce, Pasta",1500,89,42,2,175,2540,139,6,19,38
Appetizers & Sides,Applebee's,"Neighborhood Nachos, Chicken","Neighborhood Nachos, Chicken, Appetizers",1830,117,49,1.5,285,4910,118,11,12,79
Appetizers & Sides,Applebee's,White Queso Dip & Chips,"White Queso Dip & Chips, Appetizers",920,53,20,0.5,80,2630,83,5,6,27
Sandwiches,Applebee's,Chicken Wonton Tacos,"Chicken Wonton Tacos, Appetizers",580,26,5,0,95,1510,55,3,26,32
Appetizers & Sides,Applebee's,Breadstick,"Breadstick, Sides & Extras",180,7,1.5,0,0,250,25,1,3,4
Burgers,Applebee's,Classic Bacon Cheeseburger,"Classic Bacon Cheeseburger, Classic Fries, Burgers",1330,83,28,2,135,2690,92,8,8,56
Burgers,Applebee's,Classic Cheeseburger,"Classic Cheeseburger, Classic Fries, Burgers",1220,74,25,2,110,2340,91,8,8,48
Burgers,Applebee's,Kids Cheeseburger,"Kids Cheeseburger, Kids Main Meal",560,36,13,1,55,1050,37,2,7,24
Sandwiches,Applebee's,Kids Chicken Taco,"Kids Chicken Taco, Kids Main Meal",220,6,2.5,0,60,570,19,1,2,20
Entrees,Applebee's,Kids Grilled Chicken Alfredo,"Kids Grilled Chicken Alfredo, Kids Main Meal",670,41,25,1,175,1290,39,2,5,35
Pizza,Applebee's,Kids Cheesy Pizza,"Kids Cheesy Pizza, Kids Main Meal",700,29,8,0,40,1160,86,4,12,25
Entrees,Applebee's,Kids Chicken Quesadilla,"Kids Chicken Quesadilla, Kids Main Meal",350,17,7,0,40,700,34,2,2,15
Entrees,Applebee's,Classic Broccoli Chicken Alfredo,"Classic Broccoli Chicken Alfredo, 1 Breadstick, Pasta",1390,76,44,2,350,2730,102,8,12,78
Entrees,Applebee's,Classic Broccoli Blackened Shrimp Alfredo,"Classic Broccoli Blackened Shrimp Alfredo, 1 Breadstick, Pasta",1290,75,43,2,355,2770,103,8,12,54
Entrees,Applebee's,Three-Cheese Chicken Penne,"Three-Cheese Chicken Penne, 1 Breadstick, Pasta",1320,69,39,2,330,2620,99,6,11,76
Salads,Applebee's,Caesar Salad w/ Blackened Shrimp,"Caesar Salad w/ Blackened Shrimp, 1 Breadstick, Salad Dressing, Salads",860,58,11,1,190,2100,57,8,9,31
Appetizers & Sides,Applebee's,"Neighborhood Nachos, Beef","Neighborhood Nachos, Beef, Appetizers",1940,130,55,2,275,4440,120,12,13,76
Entrees,Applebee's,12oz Ribeye,"12oz Ribeye, Steaks & Ribs, Includes Fixed Sides",890,49,21,2,225,2050,44,7,6,73
Entrees,Applebee's,Applebee's Riblets Plate,"Applebee's Riblets Plate, Steaks & Ribs, Includes Fixed Sides",910,52,15,0,145,1390,55,5,2,57
Entrees,Applebee's,Blackened Cajun Salmon,"Blackened Cajun Salmon, Seafood, Includes Fixed Sides",600,28,9,0,110,1790,47,7,5,43
Salads,Applebee's,Grilled Chicken Salad,"Grilled Chicken Salad, 1 Breadstick, Salad Dressing, Salads",1000,61,17,0.5,240,1860,57,6,27,60
Burgers,Applebee's,Whisky Bacon Burger,"Whisky Bacon Burger, Classic Fries, Burgers",1630,102,35,1.5,160,2890,117,8,19,63
Toppings & Ingredients,Applebee's,Chicken Breast Patty,"Chicken Breast Patty, Burger Substitutions",190,2.5,1,0,150,770,0,0,0,40
Sandwiches,Applebee's,Oriental Chicken Salad Wrap,"Oriental Chicken Salad Wrap, Side of Fries, Sandwiches & More",1880,112,20,1,65,2910,175,11,37,43
Sandwiches,Applebee's,Oriental Grilled Chicken Salad Wrap,"Oriental Grilled Chicken Salad Wrap, Side of Fries, Sandwiches & More",1680,95,17,1,150,2810,149,10,37,59
Entrees,Applebee's,The Prime Rib Dipper,"The Prime Rib Dipper, Side of Fries, Sandwiches & More",1350,72,22,1,80,3940,122,9,14,58
Appetizers & Sides,Applebee's,Four-Cheese Mac & Cheese w/ Applewood-Smoked Bacon,"Four-Cheese Mac & Cheese w/ Applewood-Smoked Bacon, Sides & Extras",390,18,9,0,45,1120,38,2,4,17
Appetizers & Sides,Applebee's,Homestyle Cheesy Broccoli,"Homestyle Cheesy Broccoli, Sides & Extras",210,17,10,0.5,45,710,8,3,3,9
Desserts,Applebee's,"Kids Sundae, Strawberry","Kids Sundae, Strawberry, Kids Sundaes",260,12,7,0,45,85,35,0,29,3
Beverages,Applebee's,Red Bull,"Red Bull, Energy Drinks",110,0,0,0,0,105,29,0,27,0
Beverages,Applebee's,"Red Bull, Blue Edition","Red Bull, Blue Edition, Energy Drinks",110,0,0,0,0,110,29,0,27,0
Beverages,Applebee's,"Red Bull, Green Edition","Red Bull, Green Edition, Energy Drinks",160,0,0,0,0,100,40,0,38,0
Beverages,Applebee's,"Red Bull, Orange Edition","Red Bull, Orange Edition, Energy Drinks",110,0,0,0,0,70,28,0,27,0
Beverages,Applebee's,"Red Bull, Red Edition","Red Bull, Red Edition, Energy Drinks",110,0,0,0,0,105,29,0,27,0
Beverages,Applebee's,"Red Bull, Sugar Free","Red Bull, Sugar Free, Energy Drinks",10,0,0,0,0,105,2,0,0,0
Beverages,Applebee's,"Red Bull, Yellow Edition","Red Bull, Yellow Edition, Energy Drinks",120,0,0,0,0,140,29,0,28,0
Beverages,Applebee's,"Dr. Pepper, To Go","Dr. Pepper, To Go, Fountain Drinks",150,0,0,0,0,60,40,0,38,0
Beverages,Applebee's,IBC Root Beer (To Go),"IBC Root Beer (To Go), Beverages",160,0,0,0,0,60,40,0,40,0
Beverages,Applebee's,Minute Maid Lemonade,"Minute Maid Lemonade, Fountain Drinks",100,0,0,0,0,35,28,0,27,0
Beverages,Applebee's,"Minute Maid Lemonade, To Go","Minute Maid Lemonade, To Go, Fountain Drinks",150,0,0,0,0,50,42,0,40,0
Beverages,Applebee's,"Minute Maid Lemonade Light, To Go","Minute Maid Lemonade Light, To Go, Fountain Drinks",5,0,0,0,0,50,2,0,0,0
Beverages,Applebee's,"Sierra Mist, To Go","Sierra Mist, To Go, Fountain Drinks",140,0,0,0,0,35,37,0,37,0
Beverages,Applebee's,"Sugar Free Lemonade, To Go","Sugar Free Lemonade, To Go, Fountain Drinks",10,0,0,0,0,140,0,0,0,0
Beverages,Applebee's,"Sun Orchard Lemonade, To Go","Sun Orchard Lemonade, To Go, Fountain Drinks",170,0,0,0,0,0,42,0,36,0
Beverages,Applebee's,"Tropicana Lemonade, To Go","Tropicana Lemonade, To Go, Fountain Drinks",150,0,0,0,0,25,38,0,36,0
Beverages,Applebee's,Tropicana Light Lemonade,"Tropicana Light Lemonade, Fountain Drinks",5,0,0,0,0,95,0,0,0,0
Beverages,Applebee's,"Tropicana Light Lemonade, To Go","Tropicana Light Lemonade, To Go, Fountain Drinks",10,0,0,0,0,140,0,0,0,0
Beverages,Applebee's,"Tropicana Pink Lemonade, To Go","Tropicana Pink Lemonade, To Go, Fountain Drinks",150,0,0,0,0,25,38,0,36,0
Beverages,Applebee's,"Kiwi Lemonade, To Go","Kiwi Lemonade, To Go, Flavored Lemonades",280,0,0,0,0,85,71,0,68,0
Beverages,Applebee's,"Mango Lemonade, To Go","Mango Lemonade, To Go, Flavored Lemonades",290,0,0,0,0,90,75,0,72,0
Beverages,Applebee's,"Pomegranate Lemonade, To Go","Pomegranate Lemonade, To Go, Flavored Lemonades",280,0,0,0,0,85,72,0,69,0
Beverages,Applebee's,Blackberry Lemonade,"Blackberry Lemonade, Flavored Lemonades",190,0,0,0,0,55,49,0,47,0
Beverages,Applebee's,"Blackberry Lemonade, To Go","Blackberry Lemonade, To Go, Flavored Lemonades",290,0,0,0,0,85,73,0,71,0
Beverages,Applebee's,Strawberry Lemonade,"Strawberry Lemonade, Flavored Lemonades",190,0,0,0,0,60,49,0,47,0
Beverages,Applebee's,"Strawberry Lemonade, To Go","Strawberry Lemonade, To Go, Flavored Lemonades",280,0,0,0,0,85,73,0,70,0
Beverages,Applebee's,"Kiwi Iced Tea, To Go","Kiwi Iced Tea, To Go",70,0,0,0,0,10,17,0,15,0
Beverages,Applebee's,"Mango Iced Tea, To Go","Mango Iced Tea, To Go, Flavored Iced Teas",80,0,0,0,0,20,21,0,19,0
Beverages,Applebee's,"Pomegranate Iced Tea, To Go","Pomegranate Iced Tea, To Go, Flavored Iced Teas",70,0,0,0,0,10,18,0,16,0
Beverages,Applebee's,"Raspberry Iced Tea, To Go","Raspberry Iced Tea, To Go, Flavored Iced Teas",80,0,0,0,0,15,19,0,18,0
